"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_fundo_acum";"ret_cdi_acum";"janela";"meses";"cobertura_ok";"ret_fundo_aa";"ret_cdi_aa";"excesso_cdi_aa";"percentual_cdi"
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2024-07-01";"2026-06-30";"503";"0,2974083986444989";"0,2870100168583818";"24 meses";"24";TRUE;"0,1390383657473961";"0,134464638875263";"4,03161695429066e-03";"1,034014346897369"
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2023-07-03";"2026-06-30";"752";"0,4898764965597682";"0,4374821021799329";"36 meses";"36";TRUE;"0,1421332009807548";"0,128584674955896";"1,20048821550660e-02";"1,105366568990480"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2025-12-31";"2026-06-30";"123";"0,0679479751114433";"0,0690511803661034";"6 meses";"6";TRUE;"0,1405128775446320";"0,142870426242159";"-2,06283113412831e-03";"0,983498693469767"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1484197118961217";"0,1478274521113714";"12 meses";"12";TRUE;"0,1484197118961217";"0,147827452111371";"5,15983289701705e-04";"1,004006426250952"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2024-07-01";"2026-06-30";"503";"0,2997312570959620";"0,2870100168583818";"24 meses";"24";TRUE;"0,1400575674482241";"0,134464638875263";"4,93001578128149e-03";"1,041594047474064"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2023-07-03";"2026-06-30";"752";"0,4807539985321165";"0,4374821021799329";"36 meses";"36";TRUE;"0,1397973371482018";"0,128584674955896";"9,93515368507358e-03";"1,087200610773809"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2025-12-31";"2026-06-30";"123";"0,0727723309206176";"0,0690511803661034";"6 meses";"6";TRUE;"0,1508404739888551";"0,142870426242159";"6,97371072318531e-03";"1,055785147117762"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2025-07-01";"2026-06-30";"252";"0,1545404991713497";"0,1478274521113714";"12 meses";"12";TRUE;"0,1545404991713497";"0,147827452111371";"5,84848101309121e-03";"1,045411369567006"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2024-07-01";"2026-06-30";"503";"0,2983255844479882";"0,2870100168583818";"24 meses";"24";TRUE;"0,1394409087126844";"0,134464638875263";"4,38644772776220e-03";"1,037008018457828"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2023-07-03";"2026-06-30";"752";"0,4655159038285037";"0,4374821021799329";"36 meses";"36";TRUE;"0,1358740519845933";"0,128584674955896";"6,45886586133426e-03";"1,056689314113036"
