"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_meses";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"n_janelas_36m";"hit_rate_36m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"score_retorno";"score_consistencia";"score_risco";"score_taxa";"eficiencia_custo";"score_eficiencia";"score_custo";"score_diferenciacao";"score_preliminar";"quartil_score";"classificacao";"red_flag";"elegivel_shortlist"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2018-07-01";"2026-06-01";"96";"0,007963460447077519";"0,875000000000000";"0,780219780219780";"61";"1,000000000000000";"0,01279468872837838";"-0,02564309881189053";"-0,01537620605843659";"0,43700423675548739";"-0,03433686692948590";"11";"1";"0,760423816065598";"0,843100017539214";"0,949081150391301";"Sparta Top";"96";"IDA-DI";"0,01214768016719526";"IDA-DI";"0,920867681197110";"0,4888888888888889";"0,68888888888888888";"0,51555555555555554";"0,8888888888888888";"1,9908651117693799";"0,8000000000000000";"0,8444444444444444";"0,1555555555555556";"0,599777777777778";"1";"Q1 - Destaque";NA;TRUE
"Principal Claritas FIF RF";"Principal Claritas";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050";"2010-05-01";"2026-06-01";"194";"0,009273913518116794";"0,860824742268041";"0,825396825396825";"159";"0,974842767295597";"0,00917386273983674";"-0,02937284224010295";"-0,01398318024583915";"0,27095734629689927";"-0,03837070679481325";"13";"1";"0,764157461655489";"0,798173089047089";"0,945560752963798";"JGP Corporate FEEDER II";"120";"IDA-DI";"0,00832057042265485";"IDA-DI";"0,928970865850247";"0,6444444444444445";"0,66666666666666674";"0,58222222222222220";"0,6000000000000000";"1,8547827036233588";"0,7555555555555555";"0,6777777777777778";"0,1666666666666667";"0,598111111111111";"1";"Q1 - Destaque";NA;TRUE
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2023-04-01";"2026-06-01";"39";"0,007796221644291057";"0,871794871794872";"0,882352941176471";"4";"1,000000000000000";"0,00448812141563022";"-0,00478393566012214";"-0,00226137191022809";"0,06742159064821922";"-0,00554352812016001";NA;"1";"0,575024059086353";"0,595117962951174";"0,972859995993885";"BNP Paribas Rubi";"39";"IRF-M 1";"0,00487019099074339";"IDA-DI";"0,595821518379676";"0,4666666666666667";"0,75111111111111106";"0,92444444444444440";"0,2666666666666667";"1,1994187145063164";"0,3777777777777778";"0,3222222222222222";"0,4222222222222222";"0,588777777777778";"2";"Q2 - Aprovado";NA;TRUE
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"2019-05-01";"2026-06-01";"86";"0,011248794618361702";"0,779069767441861";"0,740740740740741";"51";"1,000000000000000";"0,01804343952555575";"-0,03300649595476290";"-0,01966935191224710";"0,35756673595396715";"-0,03906721556790205";"7";"1";"0,731114470220130";"0,811011821169029";"0,981805132217547";"Sparta Top";"86";"IDA-DI";"0,01049083706517903";"IDA-DI";"0,915446222554786";"0,7555555555555555";"0,44444444444444442";"0,34000000000000002";"0,9333333333333333";"3,2139413195319149";"0,9777777777777777";"0,9555555555555555";"0,1222222222222222";"0,581333333333333";"2";"Q2 - Aprovado";NA;TRUE
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-05-01";"2026-06-01";"86";"0,010284484981853081";"0,779069767441861";"0,790123456790123";"51";"1,000000000000000";"0,01084931453071367";"-0,01664946836963266";"-0,01114279764306828";"0,47052644616058953";"-0,02785041828435364";"8";"1";"0,646345709622012";"0,675335842427371";"0,876833002057937";"XP Corporate Top";"86";"IRF-M 1";"0,01256693988757724";"IDA-DI";"0,604688199836015";"0,6888888888888889";"0,50222222222222224";"0,62444444444444458";"0,3111111111111111";"1,7140808303088468";"0,6444444444444445";"0,4777777777777778";"0,6888888888888889";"0,576555555555556";"2";"Q2 - Aprovado";NA;TRUE
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"2023-01-01";"2026-06-01";"42";"0,009107200567740170";"0,761904761904762";"0,756756756756757";"7";"1,000000000000000";"0,00682232762156579";"-0,00604507609946137";"-0,00410402416308298";"0,34671567845654527";"-0,00742080708958281";"3";"1";"0,658204964595470";"0,672312762428955";"0,882462592386647";"Plural Crédito Corporativo II";"42";"IRF-M 1";"0,00664364437371804";"IDA-DI";"0,788147067041231";"0,6000000000000000";"0,40888888888888886";"0,86666666666666670";"0,3111111111111111";"1,5178667612900283";"0,5333333333333333";"0,4222222222222222";"0,6333333333333333";"0,564444444444444";"2";"Q2 - Aprovado";NA;TRUE
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2019-12-01";"2026-06-01";"79";"0,010716183081906028";"0,822784810126582";"0,810810810810811";"44";"1,000000000000000";"0,01516331573587135";"-0,03104127446775062";"-0,01485723683775497";"0,34894317644991635";"-0,03963402298106433";"9";"1";"0,783541417781303";"0,841556285059199";"0,949774428535261";"Plural Crédito Corporativo II";"79";"IDA-DI";"0,01230732272844295";"IDA-DI";"0,925895815071555";"0,7111111111111111";"0,57333333333333336";"0,43111111111111111";"0,6000000000000000";"2,1432366163812056";"0,8444444444444444";"0,7222222222222222";"0,0888888888888889";"0,561222222222222";"2";"Q2 - Aprovado";NA;TRUE
"Sparta Top FIC FIF RF CP LP - Resp Limitada";"Sparta Top";"SPARTA TOP RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0030";"2012-03-01";"2026-06-01";"172";"0,007062355796904285";"0,854651162790698";"0,844311377245509";"137";"0,919708029197080";"0,01350212752048500";"-0,04033600082960698";"-0,02142960773098168";"0,30780729492925385";"-0,05162152524010621";"13";"1";"0,735947282110311";"0,813183583173725";"0,981805132217547";"Sparta Max Advisory";"86";"IDA-DI";"0,00605113899136169";"IDA-DI";"0,946728893754094";"0,4222222222222222";"0,61777777777777776";"0,32000000000000001";"0,9777777777777777";"2,3541185989680948";"0,9333333333333333";"0,9555555555555555";"0,1111111111111111";"0,552888888888889";"2";"Q2 - Aprovado";NA;TRUE
"Novus Crédito FIM CP LP";"Novus Crédito";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070";"2022-10-01";"2026-06-01";"45";"0,011640520720932468";"0,688888888888889";"0,675000000000000";"10";"1,000000000000000";"0,00879289491335605";"-0,00772866221770663";"-0,00513264793303310";"0,39585910911759820";"-0,00933713739076425";"3";"1";"0,674881797172606";"0,680179023850495";"0,888324643194418";"Bocom BBM Corporate Credit II";"38";"IRF-M 1";"0,00884883282562702";"IDA-DI";"0,797205634306080";"0,8000000000000000";"0,24444444444444444";"0,80222222222222217";"0,2000000000000000";"1,6629315315617812";"0,6000000000000000";"0,4000000000000000";"0,5888888888888889";"0,540444444444445";"2";"Q2 - Aprovado";NA;TRUE
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2012-05-01";"2026-06-01";"170";"0,014602093262450877";"0,823529411764706";"0,836363636363636";"135";"0,977777777777778";"0,01767087248852967";"-0,03572612257294316";"-0,02836808600927698";"0,30149877106975798";"-0,04884309861743696";"8";"1";"0,699510452428344";"0,711204029607037";"0,913061565065470";"Porto Seguro Ipê";"79";"IDA-DI";"0,01565732321856873";"IDA-DI";"0,596169809781141";"0,9333333333333333";"0,59555555555555562";"0,21111111111111114";"0,1333333333333333";"1,9469457683267837";"0,7777777777777778";"0,4555555555555555";"0,4666666666666667";"0,538333333333333";"2";"Q2 - Aprovado";"Cauda negativa";FALSE
