"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"inicio_serie_diaria";"fim_serie_diaria";"n_retornos_diarios";"revisar";"serie_atualizada";"elegivel_etapa2";"motivo_inelegibilidade_etapa2";"inicio_serie_mensal";"fim_serie_mensal";"n_meses_completos";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"n_janelas_36m";"hit_rate_36m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"n_meses_ida_liq_di";"n_meses_ida_di";"n_meses_irfm_1";"correlacao_ida_liq_di";"correlacao_ida_di";"correlacao_irfm_1";"tracking_error_aa_ida_liq_di";"tracking_error_aa_ida_di";"tracking_error_aa_irfm_1";"excesso_benchmark_aa_ida_liq_di";"excesso_benchmark_aa_ida_di";"excesso_benchmark_aa_irfm_1";"hit_rate_mensal_ida_liq_di";"hit_rate_mensal_ida_di";"hit_rate_mensal_irfm_1";"elegivel_ranking";"motivo_inelegibilidade_ranking"
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"2016-07-04";"2026-06-30";"2507";FALSE;TRUE;TRUE;NA;"2016-07-01";"2026-06-01";"120";"0,011518561926476378";"0,775000000000000";"0,756521739130435";"85";"0,941176470588235";"0,01944311025020497";"-0,03911834123029490";"-0,02373182215709561";"0,37192594833435122";"-0,05524096618930352";"13";"1";"0,681456195991835";"0,773780576250607";"0,890942098166155";"Selection Light";"118";"IDA-DI";"0,01313279969152326";"IDA-DI";"0,781302562043386";"102";"120";"120";"0,685697493401609";"0,781302562043386";"-0,143614159603459995";"0,0310850429387986";"0,01313279969152326";"0,02073859887650929";"0,012055024845021522";"0,000996696019208043";"0,010846528521949672";"0,480392156862745";"0,591666666666667";"0,716666666666667";TRUE;NA
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"2019-05-02";"2026-06-30";"1800";FALSE;TRUE;TRUE;NA;"2019-05-01";"2026-06-01";"86";"0,011248794618361702";"0,779069767441861";"0,740740740740741";"51";"1,000000000000000";"0,01804343952555575";"-0,03300649595476290";"-0,01966935191224710";"0,35756673595396715";"-0,03906721556790205";"7";"1";"0,731114470220130";"0,811011821169029";"0,981805132217547";"Sparta Top";"86";"IDA-DI";"0,01049083706517903";"IDA-DI";"0,915446222554786";"86";"86";"86";"0,854513820049191";"0,915446222554786";"-0,141128334297051738";"0,0307770316083298";"0,01049083706517903";"0,01947616046603675";"0,018685552201591848";"0,002119568972162478";"0,012469202796860257";"0,488372093023256";"0,511627906976744";"0,709302325581395";TRUE;NA
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-04-11";"2026-06-30";"808";FALSE;TRUE;TRUE;NA;"2023-05-01";"2026-06-01";"38";"0,010919685845205196";"0,763157894736842";"0,878787878787879";"3";"1,000000000000000";"0,00452052466000752";"-0,00320344262184469";"-0,00174917461564080";"0,14628765270986316";"-0,00320344262184458";"5";"1";"0,650074704437601";"0,672504349150873";"0,891258166901900";"BOCOM BBM Corporate Credit Plus MULT";"38";"IRF-M 1";"0,00524557593136886";"IDA-DI";"0,804408533822654";"38";"38";"38";"0,484491789708923";"0,804408533822654";"0,201038983756028633";"0,0271410332555938";"0,00810317010040011";"0,00524557593136886";"0,005909793294750720";"-0,007947803418743460";"0,013953513113241556";"0,315789473684211";"0,236842105263158";"0,763157894736842";TRUE;NA
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2019-12-02";"2026-06-30";"1650";FALSE;TRUE;TRUE;NA;"2019-12-01";"2026-06-01";"79";"0,010716183081906028";"0,822784810126582";"0,810810810810811";"44";"1,000000000000000";"0,01516331573587135";"-0,03104127446775062";"-0,01485723683775497";"0,34894317644991635";"-0,03963402298106433";"9";"1";"0,783541417781303";"0,841556285059199";"0,949774428535261";"Plural Crédito Corporativo II";"79";"IDA-DI";"0,01230732272844295";"IDA-DI";"0,925895815071555";"79";"79";"79";"0,681610606651922";"0,925895815071555";"-0,209920540875552203";"0,0383060893469808";"0,01230732272844295";"0,01706757593453138";"0,017080149088035679";"-0,000375437376236576";"0,013130463584871688";"0,354430379746835";"0,354430379746835";"0,784810126582278";TRUE;NA
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-05-07";"2026-06-30";"1797";FALSE;TRUE;TRUE;NA;"2019-05-01";"2026-06-01";"86";"0,010284484981853081";"0,779069767441861";"0,790123456790123";"51";"1,000000000000000";"0,01084931453071367";"-0,01664946836963266";"-0,01114279764306828";"0,47052644616058953";"-0,02785041828435364";"8";"1";"0,646345709622012";"0,675335842427371";"0,876833002057937";"XP Corporate Top";"86";"IRF-M 1";"0,01256693988757724";"IDA-DI";"0,604688199836015";"86";"86";"86";"0,468205153356933";"0,604688199836015";"-0,111296241605316384";"0,0413012152049631";"0,01985343582569636";"0,01256693988757724";"0,017727793404687331";"0,001174285174435408";"0,011551219003995250";"0,465116279069767";"0,465116279069767";"0,767441860465116";TRUE;NA
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2022-10-31";"2026-06-30";"919";FALSE;TRUE;TRUE;NA;"2022-11-01";"2026-06-01";"44";"0,010273041654651482";"0,704545454545455";"0,743589743589744";"9";"1,000000000000000";"0,00838424260147245";"-0,00615388015032925";"-0,00483715175763725";"0,31819646430123077";"-0,01406972434535125";NA;"1";"0,637954677559243";"0,650281515604567";"0,866583472841115";"Vinland Crédito";"44";"IRF-M 1";"0,00846681845377618";"IDA-DI";"0,722460798677311";"44";"44";"44";"0,391759292053903";"0,722460798677311";"0,188633224012721923";"0,0477197411923733";"0,01079128678269516";"0,00846681845377618";"0,036117220233910619";"0,001715175815713454";"0,012874608385600395";"0,386363636363636";"0,340909090909091";"0,704545454545455";TRUE;NA
"Principal Claritas FIF RF";"Principal Claritas";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050";"2010-05-05";"2026-06-30";"4058";FALSE;TRUE;TRUE;NA;"2010-05-01";"2026-06-01";"194";"0,009273913518116794";"0,860824742268041";"0,825396825396825";"159";"0,974842767295597";"0,00917386273983674";"-0,02937284224010295";"-0,01398318024583915";"0,27095734629689927";"-0,03837070679481325";"13";"1";"0,764157461655489";"0,798173089047089";"0,945560752963798";"JGP Corporate FEEDER II";"120";"IDA-DI";"0,00832057042265485";"IDA-DI";"0,928970865850247";"102";"194";"194";"0,691346301107381";"0,928970865850247";"-0,040993295791574583";"0,0341146946176321";"0,00832057042265485";"0,01069810385413054";"0,012064114594709574";"-0,001303109195801566";"0,007511747063569940";"0,411764705882353";"0,407216494845361";"0,742268041237113";TRUE;NA
"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP Corporate FEEDER II";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2016-06-15";"2026-06-30";"2520";FALSE;TRUE;TRUE;NA;"2016-07-01";"2026-06-01";"120";"0,009165065206993672";"0,825000000000000";"0,773913043478261";"85";"0,905882352941176";"0,01765490283492915";"-0,04566457848408934";"-0,02187795998374139";"0,29006529302363293";"-0,05762343980184326";"13";"1";"0,738794123834975";"0,775317775511588";"0,967379631320420";"JGP Crédito Advisory";"102";"IDA-DI";"0,00779895629688133";"IDA-DI";"0,923801730888230";"102";"120";"120";"0,686698782002044";"0,923801730888230";"-0,178555541259330430";"0,0316122216309973";"0,00779895629688133";"0,01915791062534105";"0,012637204521167122";"-0,001342687489717331";"0,008482261150072556";"0,411764705882353";"0,383333333333333";"0,691666666666667";TRUE;NA
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"2022-12-29";"2026-06-30";"878";FALSE;TRUE;TRUE;NA;"2023-01-01";"2026-06-01";"42";"0,009107200567740170";"0,761904761904762";"0,756756756756757";"7";"1,000000000000000";"0,00682232762156579";"-0,00604507609946137";"-0,00410402416308298";"0,34671567845654527";"-0,00742080708958281";"3";"1";"0,658204964595470";"0,672312762428955";"0,882462592386647";"Plural Crédito Corporativo II";"42";"IRF-M 1";"0,00664364437371804";"IDA-DI";"0,788147067041231";"42";"42";"42";"0,382375790688352";"0,788147067041231";"0,313180074089842775";"0,0493516037981302";"0,01097582610156184";"0,00664364437371804";"0,036437392707437732";"0,000836140228947624";"0,011761447479917475";"0,357142857142857";"0,333333333333333";"0,738095238095238";TRUE;NA
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2020-01-02";"2026-06-30";"1629";FALSE;TRUE;TRUE;NA;"2020-01-01";"2026-06-01";"78";"0,008970721182759656";"0,833333333333333";"0,726027397260274";"43";"1,000000000000000";"0,02166777685869560";"-0,04248267063740008";"-0,02311688204168124";"0,25017666919891368";"-0,04501796188486751";"9";"1";"0,742355544002515";"0,777986967901783";"0,945709029100236";"Sparta Top";"78";"IDA-DI";"0,00799651437653851";"IDA-DI";"0,950426756940678";"78";"78";"78";"0,814968883096615";"0,950426756940678";"-0,127760462791357887";"0,0319101959847062";"0,00799651437653851";"0,02293662277291353";"0,015684957286167034";"-0,002156790478876514";"0,011477078505540472";"0,435897435897436";"0,371794871794872";"0,756410256410256";TRUE;NA
