"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_liq_36m";"ret_pre_taxa_36m";"ret_cdi_36m";"taxa_efetiva_36m";"excesso_cdi_liq_36m";"excesso_cdi_pre_taxa_36m"
"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ Quest Altro Advisory";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080";"2023-07-03";"2026-06-30";"752";"0,512295477292316";"0,548685815334051";"0,437482102179933";"0,02406298146635066";"0,052044735025868594";"0,0773600679865707"
"Tivio Institucional 15";"Tivio Institucional 15";"TIVIO INSTITUCIONAL 15 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,511232156054070";"0,533892730718530";"0,437482102179933";"0,01499476739803796";"0,051305024085027240";"0,0670690983855666"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2023-07-03";"2026-06-30";"752";"0,510742190418221";"0,537952995340675";"0,437482102179933";"0,01801154763203949";"0,050964174181500566";"0,0698936654643412"
"JGP Crédito Advisory FIF Multimercado CP RL";"JGP Crédito Advisory";"JGP CRÉDITO ADVISORY RESP LIMITADA FIF MULTIMERCADO CRÉDITO PRIVADO";"0,0110";"2023-07-03";"2026-06-30";"752";"0,508135661478845";"0,558182997155878";"0,437482102179933";"0,03318490302653165";"0,049150914082176200";"0,0839668854261930"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2023-07-03";"2026-06-30";"752";"0,505166494000065";"0,527736115472916";"0,437482102179933";"0,01499476739803796";"0,047085380553600453";"0,0627861822808875"
"Novus Crédito FIM CP LP";"Novus Crédito";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070";"2023-07-03";"2026-06-30";"752";"0,500848936407190";"0,532418218745446";"0,437482102179933";"0,02103428371267424";"0,044081824831878835";"0,0660433381546406"
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-07-03";"2026-06-30";"752";"0,498772658076523";"0,525767873197064";"0,437482102179933";"0,01801154763203949";"0,042637439313952807";"0,0614169532151019"
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"2023-07-03";"2026-06-30";"752";"0,498539109928639";"0,514244925973880";"0,437482102179933";"0,01048075151404482";"0,042474969014301811";"0,0534008901241532"
"SulAmérica Crédito Ativo FIRF CP LP";"SulAmérica Crédito Ativo";"SULAMÉRICA CRÉDITO ATIVO RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-07-03";"2026-06-30";"752";"0,494806327854020";"0,521730103228829";"0,437482102179933";"0,01801154763203949";"0,039878218718101044";"0,0586080347860571"
"Vinland Crédito Multimercado FIC FI CP";"Vinland Crédito";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070";"2023-07-03";"2026-06-30";"752";"0,493168918625049";"0,524576657290351";"0,437482102179933";"0,02103428371267424";"0,038739137246068589";"0,0605882709623584"
"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP Corporate FEEDER II";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-07-03";"2026-06-30";"752";"0,492232033047996";"0,519109441389294";"0,437482102179933";"0,01801154763203949";"0,038087382642910672";"0,0567849429816019"
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2023-07-03";"2026-06-30";"752";"0,489876496559768";"0,515811842449825";"0,437482102179933";"0,01740771530388008";"0,036448728161818211";"0,0544909325487293"
"Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL";"Root Capital Crédito HG Plus";"ROOT CAPITAL CRÉDITO HG PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0104";"2023-07-03";"2026-06-30";"752";"0,489786570278523";"0,536500637631649";"0,437482102179933";"0,03135621456461357";"0,036386169969887305";"0,0688833170872563"
