"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_liq_36m";"ret_pre_taxa_36m";"ret_cdi_36m";"taxa_efetiva_36m";"excesso_cdi_liq_36m";"excesso_cdi_pre_taxa_36m"
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,489396186644723";"0,511729336026983";"0,437482102179933";"0,01499476739803796";"0,036114595365092095";"0,0516508927203025"
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,486993344798808";"0,509290464126499";"0,437482102179933";"0,01499476739803796";"0,034443032399354312";"0,0499542650567049"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2023-07-03";"2026-06-30";"752";"0,486723594859030";"0,504540397030029";"0,437482102179933";"0,01198393718415924";"0,034255377930913600";"0,0466498294124165"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2023-07-03";"2026-06-30";"752";"0,485393455877086";"0,525644122983358";"0,437482102179933";"0,02709764671913417";"0,033330052335605487";"0,0613308650380608"
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"2023-07-03";"2026-06-30";"752";"0,485261790895940";"0,512013654388711";"0,437482102179933";"0,01801154763203949";"0,033238458164835505";"0,0518486818693267"
"Sparta Top FIC FIF RF CP LP - Resp Limitada";"Sparta Top";"SPARTA TOP RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0030";"2023-07-03";"2026-06-30";"752";"0,485052177795828";"0,498386537281515";"0,437482102179933";"0,00897905116402997";"0,033092638540511254";"0,0423688301991523"
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-07-03";"2026-06-30";"752";"0,484315938133419";"0,511050765354105";"0,437482102179933";"0,01801154763203949";"0,032580465441943929";"0,0511788376791653"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2023-07-03";"2026-06-30";"752";"0,482730754057076";"0,516163199575169";"0,437482102179933";"0,02254788701631227";"0,031477714963215275";"0,0547353579400516"
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2023-07-03";"2026-06-30";"752";"0,481694734174482";"0,508382349455207";"0,437482102179933";"0,01801154763203949";"0,030756996506253076";"0,0493225252458824"
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-07-03";"2026-06-30";"752";"0,481654736512170";"0,508341631373098";"0,437482102179933";"0,01801154763203949";"0,030729171699076518";"0,0492941992708689"
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-07-03";"2026-06-30";"752";"0,481323327996297";"0,508004253676955";"0,437482102179933";"0,01801154763203949";"0,030498623774083189";"0,0490594988209423"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2023-07-03";"2026-06-30";"752";"0,480753998532117";"0,502957560313822";"0,437482102179933";"0,01499476739803796";"0,030102563563443319";"0,0455487119002012"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2023-07-03";"2026-06-30";"752";"0,480731798424101";"0,502935027320347";"0,437482102179933";"0,01499476739803796";"0,030087119817756802";"0,0455330365791375"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2023-07-03";"2026-06-30";"752";"0,479181716878720";"0,512982182620911";"0,437482102179933";"0,02285078659133144";"0,029008788795039431";"0,0525224490283966"
"Principal Claritas FIF RF";"Principal Claritas";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050";"2023-07-03";"2026-06-30";"752";"0,473816257179430";"0,495915789143281";"0,437482102179933";"0,01499476739803796";"0,025276248618606223";"0,0406500274853743"
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"2023-07-03";"2026-06-30";"752";"0,473100606522008";"0,506315912561528";"0,437482102179933";"0,02254788701631227";"0,024778398484447406";"0,0478849860302322"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2023-07-03";"2026-06-30";"752";"0,472970201351709";"0,490622183718845";"0,437482102179933";"0,01198393718415924";"0,024687680714743587";"0,0369674735138095"
"XP Corporate Top CP FIF FIRF LP RL";"XP Corporate Top";"XP CORPORATE TOP RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0075";"2023-07-03";"2026-06-30";"752";"0,471462457906255";"0,504640827155872";"0,437482102179933";"0,02254788701631227";"0,023638802649988300";"0,0467196947176545"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2023-07-03";"2026-06-30";"752";"0,470770331119755";"0,499482960771690";"0,437482102179933";"0,01952217082736341";"0,023157317151525580";"0,0431315690802225"
"Inter Premium FIF RF CP LP RL";"Inter Premium";"INTER PREMIUM RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-07-03";"2026-06-30";"752";"0,469319310826063";"0,495784025579681";"0,437482102179933";"0,01801154763203949";"0,022147899161909290";"0,0405583647346521"
"Riza Lotus Plus Advisory FIF RF";"Riza Lotus Plus Advisory";"RIZA LÓTUS PLUS ADVISORY FIF CIC RENDA FIXA";"0,0050";"2023-07-03";"2026-06-30";"752";"0,469012922783971";"0,491040429865828";"0,437482102179933";"0,01499476739803796";"0,021934757000606320";"0,0372584309778012"
"Selection RF Light FIC FIRF CP LP";"Selection Light";"SELECTION RF LIGHT FIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0031";"2023-07-03";"2026-06-30";"752";"0,468647670683210";"0,482275652542939";"0,437482102179933";"0,00927927244346805";"0,021680665419079093";"0,0311611186637222"
"Safra Polaris Classe de Investimento RF CP RL";"Safra Polaris";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-07-03";"2026-06-30";"752";"0,468339609622013";"0,494786678440733";"0,437482102179933";"0,01801154763203949";"0,021466359403908175";"0,0398645493908396"
"XP Corporate Light FIRF CP LP";"XP Corporate Light";"XP CORPORATE LIGHT RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,468135885993129";"0,490150242112311";"0,437482102179933";"0,01499476739803796";"0,021324636854058943";"0,0366391622215732"
"Plural Crédito Corporativo II FIC de FIF RF CP LP RL";"Plural Crédito Corporativo II";"PLURAL CRÉDITO CORPORATIVO II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,468125128280436";"0,490139323090216";"0,437482102179933";"0,01499476739803796";"0,021317153134660538";"0,0366315662855414"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2023-07-03";"2026-06-30";"752";"0,467421148634176";"0,498287301400526";"0,437482102179933";"0,02103428371267424";"0,020827422065875290";"0,0422997956832871"
"Valora Absolute FIF RF CP LP RL";"Valora Absolute";"VALORA ABSOLUTE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,466464548281238";"0,488453843080183";"0,437482102179933";"0,01499476739803796";"0,020161952665256111";"0,0354590438537992"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2023-07-03";"2026-06-30";"752";"0,465515903828504";"0,503003167239678";"0,437482102179933";"0,02557956779127668";"0,019502017872819355";"0,0455804388523398"
"Safra Grand Vitesse FIRF CP";"Safra Grand Vitesse";"SAFRA GRAND VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0025";"2023-07-03";"2026-06-30";"752";"0,463305572190803";"0,474249393713672";"0,437482102179933";"0,00747883540584549";"0,017964376719340924";"0,0255775647418366"
"Safra Vitesse Classe de Investimento RF CP RL";"Safra Vitesse";"SAFRA VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2023-07-03";"2026-06-30";"752";"0,460170636313826";"0,482065555366797";"0,437482102179933";"0,01499476739803796";"0,015783524608400823";"0,0310149622866629"
"Mag High Grade Plus 30 FIF RF CP LP RL";"Mag High Grade Plus 30";"MAG HIGH GRADE PLUS 30 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0064";"2023-07-03";"2026-06-30";"752";"0,446934605643901";"0,474744583190866";"0,437482102179933";"0,01921992703643216";"0,006575736455871839";"0,0259220486671972"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2023-07-03";"2026-06-30";"752";"0,436745249824068";"0,458288910655417";"0,437482102179933";"0,01499476739803796";"-0,000512599325409036";"0,0144744817649771"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2023-07-03";"2026-06-30";"752";"0,336043627733116";"0,358091571996091";"0,437482102179933";"0,01650241339826941";"-0,070566773870078703";"-0,0552288825463958"
