"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_liq_12m";"ret_pre_taxa_12m";"ret_cdi_12m";"taxa_efetiva_12m";"excesso_cdi_liq_12m";"excesso_cdi_pre_taxa_12m"
"Novus Crédito FIM CP LP";"Novus Crédito";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070";"2025-07-01";"2026-06-30";"252";"0,1498161248228336";"0,157864837696564";"0,147827452111371";"0,00699999999997369";"1,73255371075509e-03";"0,008744681586704939"
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1495352029866792";"0,156432414204593";"0,147827452111371";"0,00599999999999468";"1,48781149306587e-03";"0,007496738362019029"
"Safra Grand Vitesse FIRF CP";"Safra Grand Vitesse";"SAFRA GRAND VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0025";"2025-07-01";"2026-06-30";"252";"0,1493133407453500";"0,152186624097203";"0,147827452111371";"0,00249999999998973";"1,29452264906660e-03";"0,003797758955680131"
"Vinland Crédito 10 FIC FIRF";"Vinland Crédito 10";"VINLAND CRÉDITO 10 FIC RENDA FIXA";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1491300901201607";"0,154875740570779";"0,147827452111371";"0,00500000000001610";"1,13487267306001e-03";"0,006140547036440624"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2025-07-01";"2026-06-30";"252";"0,1490777652880038";"0,156546770762348";"0,147827452111371";"0,00649999999997797";"1,08928669926178e-03";"0,007596367062782994"
"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP Corporate FEEDER II";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1486604214204450";"0,155552383948960";"0,147827452111371";"0,00599999999999468";"7,25692095568276e-04";"0,006730046248134780"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1484197118961217";"0,154161810455620";"0,147827452111371";"0,00500000000001610";"5,15983289701705e-04";"0,005518563206165839"
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1482173882888171";"0,155106692618543";"0,147827452111371";"0,00599999999999468";"3,39716720251459e-04";"0,006341755020566886"
"Safra Vitesse Classe de Investimento RF CP RL";"Safra Vitesse";"SAFRA VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1478967752582914";"0,153636259134601";"0,147827452111371";"0,00500000000001610";"6,03950940469833e-05";"0,005060697069532605"
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1478138699143356";"0,153552939263927";"0,147827452111371";"0,00500000000001610";"-1,18329606167977e-05";"0,004988107874596803"
