"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_meses";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"n_janelas_36m";"hit_rate_36m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"score_retorno";"score_consistencia";"score_risco";"score_taxa";"eficiencia_custo";"score_eficiencia";"score_custo";"score_diferenciacao";"score_preliminar";"quartil_score";"classificacao";"red_flag";"elegivel_shortlist"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2020-06-01";"2026-06-01";"73";"0,0200677911299596";"0,835616438356164";"0,867647058823529";"38";"1";"0,00978327244833325";"-0,00522398276774716";"-0,00453999852440271";"0,456158781226086";"-0,00708576930528970";"7";"1";"0,536249639443069";"0,548754709812419";"0,764252729472862";"Plural Crédito Corporativo II";"73";"IDA-DI";"0,01026778745060310";"IDA-DI";"0,650540847550394";"0,977777777777778";"0,662222222222222";"0,808888888888889";"0,311111111111111";"3,34463185499327";"1,000000000000000";"0,655555555555556";"0,900000000000000";"0,776777777777778";"1";"Q1 - Destaque";NA;TRUE
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2021-01-01";"2026-06-01";"66";"0,0153959357885796";"0,833333333333333";"0,836065573770492";"31";"1";"0,00683094284256867";"-0,00510232869216443";"-0,00384317681797985";"0,401394972901517";"-0,00917377816866249";"4";"1";"0,610509016906555";"0,615510236790810";"0,882342771461098";"SulAmérica Crédito Ativo";"66";"IDA-DI";"0,00952358269300273";"IDA-DI";"0,673897923898873";"0,955555555555556";"0,617777777777778";"0,864444444444444";"0,311111111111111";"2,56598929809659";"0,955555555555556";"0,633333333333333";"0,711111111111111";"0,747888888888889";"1";"Q1 - Destaque";NA;TRUE
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2018-11-01";"2026-06-01";"92";"0,0117650558685463";"0,836956521739130";"0,862068965517241";"57";"1";"0,00990996600579074";"-0,01400618306287527";"-0,01009771699113056";"0,331974661981881";"-0,02456709310827299";"10";"1";"0,642378248990600";"0,678202701894900";"0,847714939203756";"Absolute Creta Advisory";"44";"IRF-M 1";"0,01154278493373314";"IDA-DI";"0,598169791057081";"0,822222222222222";"0,666666666666667";"0,693333333333333";"0,600000000000000";"2,35301117370925";"0,911111111111111";"0,755555555555556";"0,733333333333333";"0,732000000000000";"1";"Q1 - Destaque";NA;TRUE
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2020-08-01";"2026-06-01";"71";"0,0131378589600222";"0,690140845070423";"0,787878787878788";"36";"1";"0,00994063827286379";"-0,00667417416501248";"-0,00596429805390216";"0,290980215382470";"-0,02058244479771210";"15";"3";"0,459658064036292";"0,470619050775417";"0,574161529260813";"JGP Crédito Advisory";"71";"IDA-DI";"0,01104359036807582";"IDA-DI";"0,533667984195177";"0,888888888888889";"0,346666666666667";"0,722222222222222";"0,111111111111111";"1,72866565263450";"0,666666666666667";"0,388888888888889";"0,977777777777778";"0,603888888888889";"1";"Q1 - Destaque";NA;TRUE
