"nome_plot";"AF Invest Geraes 30";"ARX Everest Advisory";"AZ Quest Altro Advisory";"Absolute Creta Advisory";"Arx Vinson Advisory";"Atena Yield D30";"Augme 30 Advisory";"BB Asset";"BNP Paribas Match Plus 30 Advisory";"BNP Paribas Rubi";"BOCOM BBM Corporate Credit Plus MULT";"BTG Pactual Crédito Corporativo I";"Bocom BBM Corporate Credit II";"Capitânia Premium 45";"Compass Yield 30";"Daycoval Classic 30";"Ibiuna Credit";"Integral";"Inter Premium";"Iridium Titan Advisory";"JGP Corporate FEEDER II";"JGP Crédito Advisory";"Mag High Grade Plus 30";"Novus Crédito";"Occam Crédito Corporativo 30";"Plural Crédito Corporativo II";"Polo Crédito Corporativo Advisory";"Porto Seguro Ipê";"Principal Claritas";"Riza Lotus Plus Advisory";"Root Capital Crédito HG Plus";"SPX Seahawk Advisory";"Safra Grand Vitesse";"Safra Polaris";"Safra Vitesse";"Selection Light";"Sparta Max Advisory";"Sparta Top";"SulAmérica Crédito Ativo";"SulAmérica Crédito ESG";"Tivio Institucional 15";"Valora Absolute";"Vinland Crédito";"XP Corporate Light";"XP Corporate Plus";"XP Corporate Top"
"BOCOM BBM Corporate Credit Plus MULT";"0,464965876361747";"0,478878932857444";"0,726034821001789";"0,642116952380302";"0,516278369671542";"0,450825415204614";"0,6257756970097508";"0,499369532335737";"0,396044602699522";"0,708094355353896";"1,000000000000000";"0,440802553940554";"0,891258166901900";"0,396842687357082";"0,560354623487085";"0,684105822669242";"0,333494265720863";"0,661501849524688";"0,476247708287809";"0,3365633934629368";"0,759006964882161";"0,781570526927197";"0,2930295393573095";"0,731369682369399";"0,646889590555165";"0,678128717645950";"0,3464362365601277";"0,7291268378590039";"0,768128154316935";"0,327073396143484";"0,466012975477378";"0,740590627236661";"0,5684763209089534";"0,832301275112324";"0,5323876348335137";"0,601516410142098";"0,715114087437296";"0,745948541646339";"0,624663157201307";"0,500035527849674";"0,1993270299073549";"0,606356097761352";"0,496165011292406";"0,532300511882911";"0,619894942111131";"0,519196649396030"
"BTG Pactual Crédito Corporativo I";"0,917544956951213";"0,730820930816008";"0,827747855671834";"0,575940871412081";"0,848129927915002";"0,577371512452549";"0,7510637173038868";"0,715940390388679";"0,671731585245277";"0,749124851715651";"0,440802553940554";"1,000000000000000";"0,779277726261445";"0,608644322564584";"0,611171462840373";"0,886877661283526";"0,512254547809007";"0,601143431158425";"0,913849734705312";"0,8614504596671748";"0,804880679035693";"0,728291909108704";"0,1396817521777917";"0,703603725847335";"0,624203028498761";"0,837395629837744";"0,7786521837327508";"0,8592223296192691";"0,799727544514981";"0,708123229698148";"0,505428830572500";"0,777986967901783";"0,8406221569706709";"0,673344226704316";"0,8803215653628765";"0,913040325587285";"0,852762599087636";"0,843862046233898";"0,832494690662166";"0,668352704470651";"0,1813660896134290";"0,842902576482669";"0,503616019423767";"0,864952907827287";"0,790081102651701";"0,872945216041569"
"Bocom BBM Corporate Credit II";"0,461046146472385";"0,314034579094072";"0,635118480494584";"0,759762234786296";"0,640482945257951";"0,664478573527963";"0,5748463733882206";"0,636844790862786";"0,585575659339588";"0,592755192808578";"0,891258166901900";"0,779277726261445";"1,000000000000000";"0,412345353505895";"0,571331695378415";"0,711411145451107";"0,269339804206907";"0,843624271013805";"0,596539774345366";"0,3749080506910291";"0,689992757860427";"0,673439802461563";"0,3254902442858687";"0,888324643194418";"0,826484894203019";"0,836117100670031";"0,6416339010069565";"0,7195812849900108";"0,798173089047089";"0,381359696926038";"0,672504349150873";"0,650747905020515";"0,7826121131310474";"0,757518239905808";"0,8067133169014573";"0,578651844411568";"0,811011821169029";"0,836081109252874";"0,859419992778137";"0,791341175638018";"0,3726611115542467";"0,648648838271257";"0,760970652900749";"0,708059304356906";"0,440010733374248";"0,680830813441599"
"Capitânia Premium 45";"0,690475737948984";"0,622178301632213";"0,661692758554543";"0,428619517917693";"0,512974588241110";"0,489380221799564";"0,5944102888199908";"0,547076418451238";"0,222254445695282";"0,422857316707021";"0,396842687357082";"0,608644322564584";"0,412345353505895";"1,000000000000000";"0,337553030109465";"0,614075576572679";"0,414787892404952";"0,427778163479007";"0,578538613149326";"0,6753358424273712";"0,517262692253585";"0,486653054520595";"0,1000994581957893";"0,507723823833294";"0,469199998726674";"0,505517018181122";"0,5853959354207569";"0,5869849549063877";"0,512910954225394";"0,400102441102842";"0,483598207912991";"0,634188885743534";"0,4902771664020718";"0,475725728615095";"0,5138604930045582";"0,614894748104809";"0,633856096290336";"0,570967303406525";"0,510112088018239";"0,459722252760540";"0,1466477866182158";"0,626677506979755";"0,421922828431764";"0,579279601236660";"0,568367762965434";"0,598663060867489"
"Compass Yield 30";"0,422940151504732";"0,395529589574401";"0,554960880317084";"0,655499796552195";"0,445455215387083";"0,304917759131686";"0,3918445951400822";"0,654330235458453";"0,677567330945350";"0,420548004634308";"0,560354623487085";"0,611171462840373";"0,571331695378415";"0,337553030109465";"1,000000000000000";"0,543828603684756";"0,350530674687361";"0,703257215942045";"0,407337982070569";"0,5065309405764745";"0,644135535705410";"0,544868530455735";"0,2841974534216203";"0,651212833904251";"0,667608962464657";"0,764252729472862";"0,5263805794961930";"0,5867381925992323";"0,683611208636461";"0,482710718215787";"0,589420012845256";"0,678092334001884";"0,3567643588234771";"0,584494660451194";"0,4953644050570609";"0,548754709812419";"0,583717597549264";"0,590967369952315";"0,521245703009072";"0,486235550376020";"0,4261068739956149";"0,668942831190265";"0,678632030841600";"0,511595907752831";"0,509428321309388";"0,550264576176302"
"Daycoval Classic 30";"0,908861946940669";"0,729788232118089";"0,926171177880709";"0,522139432363770";"0,842831577882097";"0,593506855566765";"0,8533834977476306";"0,743494557259867";"0,595117962951174";"0,847475342426885";"0,684105822669242";"0,886877661283526";"0,711411145451107";"0,614075576572679";"0,543828603684756";"1,000000000000000";"0,542407606077118";"0,893413265189259";"0,861616382829108";"0,7589128215171149";"0,907295801468248";"0,861374249275809";"0,3206819958784851";"0,700113777178264";"0,624436001920291";"0,884951271435347";"0,6817383557240368";"0,9278762483396671";"0,923970391215175";"0,764475284651739";"0,483572222701271";"0,903686223357070";"0,8285491522328210";"0,856508098490512";"0,8431000175392136";"0,946597313732957";"0,936511841529888";"0,949081150391301";"0,879151427129505";"0,648660851533608";"0,2651479214034712";"0,898097002752510";"0,394099533640118";"0,918983940853621";"0,884926445624035";"0,926065734541365"
"Ibiuna Credit";"0,482641419224634";"0,409976757244278";"0,555527496835975";"0,532324030382442";"0,570788369159245";"0,296147092409619";"0,4389666905826894";"0,452815535589208";"0,429454973955994";"0,403463405809608";"0,333494265720863";"0,512254547809007";"0,269339804206907";"0,414787892404952";"0,350530674687361";"0,542407606077118";"1,000000000000000";"0,534616468690913";"0,392311787647753";"0,4830023983466270";"0,489384603590668";"0,574161529260813";"0,4126202610032297";"0,514966883622411";"0,470619050775417";"0,459079242907409";"0,4063018025388870";"0,5354256525672563";"0,542897261842080";"0,352023473135128";"0,413430514300807";"0,483594548918227";"0,2495601704716773";"0,540566102981315";"0,3437375676045994";"0,564942967720993";"0,448193618814929";"0,465368686096018";"0,544059969014354";"0,500702238986155";"0,4494574098048780";"0,501868992381568";"0,385579806992287";"0,536603178960469";"0,524822615486914";"0,569793515069466"
"Integral";"0,811348510204721";"0,723251771579005";"0,891668793534539";"0,738756700812519";"0,754950522741559";"0,597034061912239";"0,6877365308454521";"0,757252050174356";"0,633143106835664";"0,613246915716851";"0,661501849524688";"0,601143431158425";"0,843624271013805";"0,427778163479007";"0,703257215942045";"0,893413265189259";"0,534616468690913";"1,000000000000000";"0,793877314395069";"0,7911726195911966";"0,903455149933044";"0,865325877805719";"0,4534240505319629";"0,835317981736455";"0,838732514279011";"0,659944804424478";"0,7365481920836218";"0,9130615650654699";"0,645496243722866";"0,364776490180375";"0,678986639759757";"0,862571662933533";"0,8127880636883077";"0,830634791209250";"0,6078700092456708";"0,885444864195879";"0,844970409676812";"0,619531988899206";"0,595717256275981";"0,711204029607037";"0,1477144506188096";"0,689259747945055";"0,571380399567448";"0,572678166839791";"0,776630662270349";"0,595730783438264"
"Inter Premium";"0,892904853289522";"0,719196926539068";"0,797239148595322";"0,477176921747659";"0,777710600124855";"0,574308992664979";"0,7852657776493204";"0,589482150916316";"0,507592941226199";"0,773010658608198";"0,476247708287809";"0,913849734705312";"0,596539774345366";"0,578538613149326";"0,407337982070569";"0,861616382829108";"0,392311787647753";"0,793877314395069";"1,000000000000000";"0,8290766081877319";"0,759213157105323";"0,714407702709363";"0,4115170286209522";"0,521798337658386";"0,435039881597055";"0,826410410799273";"0,7153313665857027";"0,8361816203596496";"0,803992178433455";"0,696256295809497";"0,374731349902428";"0,783356581756761";"0,8249121052576676";"0,697003285764713";"0,8364611992947074";"0,906779750263504";"0,850607475439994";"0,860714570899764";"0,846583441304098";"0,485056080774766";"0,1901245933447238";"0,807028810931015";"0,367446083857332";"0,928350736670073";"0,839213642819205";"0,918496634821626"
"Iridium Titan Advisory";"0,840159438924615";"0,822531783408792";"0,751128001551188";"0,612728404875790";"0,852102387609509";"0,580192385771685";"0,6332091894603312";"0,646469802862492";"0,376897842913492";"0,613034684130900";"0,336563393462937";"0,861450459667175";"0,374908050691029";"0,675335842427371";"0,506530940576475";"0,758912821517115";"0,483002398346627";"0,791172619591197";"0,829076608187732";"1,0000000000000000";"0,681438919767844";"0,610916523778335";"0,0449796518607736";"0,508362196966823";"0,539744713049493";"0,699721985560673";"0,8385641035346757";"0,7604905708594996";"0,652501731800822";"0,401965286657981";"0,669147856211261";"0,671191233447064";"0,7226915777333416";"0,576266543405959";"0,7772616893849122";"0,844622303642165";"0,710366142924460";"0,684149184196785";"0,746635828191573";"0,607973598430208";"0,1643435116439875";"0,817490965578845";"0,501898962399078";"0,861023592831630";"0,769568201097954";"0,876833002057937"
