"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"inicio_serie_diaria";"fim_serie_diaria";"n_retornos_diarios";"revisar";"serie_atualizada";"elegivel_etapa2";"motivo_inelegibilidade_etapa2";"inicio_serie_mensal";"fim_serie_mensal";"n_meses_completos";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"hit_rate_12m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"n_meses_ida_liq_di";"n_meses_ida_di";"n_meses_irfm_1";"correlacao_ida_liq_di";"correlacao_ida_di";"correlacao_irfm_1";"tracking_error_aa_ida_liq_di";"tracking_error_aa_ida_di";"tracking_error_aa_irfm_1";"excesso_benchmark_aa_ida_liq_di";"excesso_benchmark_aa_ida_di";"excesso_benchmark_aa_irfm_1";"hit_rate_mensal_ida_liq_di";"hit_rate_mensal_ida_di";"hit_rate_mensal_irfm_1";"elegivel_ranking";"motivo_inelegibilidade_ranking"
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"2016-07-04";"2026-06-30";"2507";FALSE;TRUE;TRUE;NA;"2016-07-01";"2026-06-01";"120";"0,011518561926476378";"0,775000000000000";"0,756521739130435";"0,651376146788991";"0,01944311025020497";"-0,039118341230294895";"-0,023731822157095610";"0,37192594833435122";"-0,05524096618930352";"13";"1";"0,657704049977469";"0,746163621815491";"0,890942098166155";"Selection Light";"118";"IDA-DI";"0,01313279969152326";"IDA-DI";"0,781302562043386";"102";"120";"120";"0,6856974934016093";"0,781302562043386";"-0,143614159603459995";"0,0310850429387986";"0,01313279969152326";"0,02073859887650929";"0,012055024845021522";"0,000996696019208043";"0,010846528521949672";"0,480392156862745";"0,591666666666667";"0,716666666666667";TRUE;NA
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"2019-05-02";"2026-06-30";"1800";FALSE;TRUE;TRUE;NA;"2019-05-01";"2026-06-01";"86";"0,011248794618361702";"0,779069767441861";"0,740740740740741";"0,666666666666667";"0,01804343952555575";"-0,033006495954762904";"-0,019669351912247095";"0,35756673595396715";"-0,03906721556790205";"7";"1";"0,710461777994000";"0,769837579931695";"0,981805132217547";"Sparta Top";"86";"IDA-DI";"0,01049083706517903";"IDA-DI";"0,915446222554786";"86";"86";"86";"0,8545138200491909";"0,915446222554786";"-0,141128334297051738";"0,0307770316083298";"0,01049083706517903";"0,01947616046603675";"0,018685552201591848";"0,002119568972162478";"0,012469202796860257";"0,488372093023256";"0,511627906976744";"0,709302325581395";TRUE;NA
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-04-11";"2026-06-30";"808";FALSE;TRUE;TRUE;NA;"2023-05-01";"2026-06-01";"38";"0,010919685845205196";"0,763157894736842";"0,878787878787879";"1,000000000000000";"0,00452052466000752";"-0,003203442621844688";"-0,001749174615640799";"0,14628765270986316";"-0,00320344262184458";"5";"1";"0,648514221978825";"0,672504349150873";"0,891258166901900";"BOCOM BBM Corporate Credit Plus MULT";"38";"IRF-M 1";"0,00524557593136886";"IDA-DI";"0,804408533822654";"38";"38";"38";"0,4844917897089234";"0,804408533822654";"0,201038983756028633";"0,0271410332555938";"0,00810317010040011";"0,00524557593136886";"0,005909793294750720";"-0,007947803418743460";"0,013953513113241556";"0,315789473684211";"0,236842105263158";"0,763157894736842";TRUE;NA
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2019-12-02";"2026-06-30";"1650";FALSE;TRUE;TRUE;NA;"2019-12-01";"2026-06-01";"79";"0,010716183081906028";"0,822784810126582";"0,810810810810811";"0,882352941176471";"0,01516331573587135";"-0,031041274467750624";"-0,014857236837754972";"0,34894317644991635";"-0,03963402298106433";"9";"1";"0,769603102412423";"0,813140264923453";"0,949774428535261";"Plural Crédito Corporativo II";"79";"IDA-DI";"0,01230732272844295";"IDA-DI";"0,925895815071555";"79";"79";"79";"0,6816106066519220";"0,925895815071555";"-0,209920540875552203";"0,0383060893469808";"0,01230732272844295";"0,01706757593453138";"0,017080149088035679";"-0,000375437376236576";"0,013130463584871688";"0,354430379746835";"0,354430379746835";"0,784810126582278";TRUE;NA
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-05-07";"2026-06-30";"1797";FALSE;TRUE;TRUE;NA;"2019-05-01";"2026-06-01";"86";"0,010284484981853081";"0,779069767441861";"0,790123456790123";"0,760000000000000";"0,01084931453071367";"-0,016649468369632658";"-0,011142797643068284";"0,47052644616058953";"-0,02785041828435364";"8";"1";"0,624527262265138";"0,652501731800822";"0,876833002057937";"XP Corporate Top";"86";"IRF-M 1";"0,01256693988757724";"IDA-DI";"0,604688199836015";"86";"86";"86";"0,4682051533569325";"0,604688199836015";"-0,111296241605316384";"0,0413012152049631";"0,01985343582569636";"0,01256693988757724";"0,017727793404687331";"0,001174285174435408";"0,011551219003995250";"0,465116279069767";"0,465116279069767";"0,767441860465116";TRUE;NA
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2022-10-31";"2026-06-30";"919";FALSE;TRUE;TRUE;NA;"2022-11-01";"2026-06-01";"44";"0,010273041654651482";"0,704545454545455";"0,743589743589744";"0,848484848484849";"0,00838424260147245";"-0,006153880150329250";"-0,004837151757637252";"0,31819646430123077";"-0,01406972434535125";NA;"1";"0,639991678092036";"0,655499796552195";"0,866583472841115";"Vinland Crédito";"44";"IRF-M 1";"0,00846681845377618";"IDA-DI";"0,722460798677311";"44";"44";"44";"0,3917592920539029";"0,722460798677311";"0,188633224012721923";"0,0477197411923733";"0,01079128678269516";"0,00846681845377618";"0,036117220233910619";"0,001715175815713454";"0,012874608385600395";"0,386363636363636";"0,340909090909091";"0,704545454545455";TRUE;NA
"Principal Claritas FIF RF";"Principal Claritas";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050";"2010-05-05";"2026-06-30";"4058";FALSE;TRUE;TRUE;NA;"2010-05-01";"2026-06-01";"194";"0,009273913518116794";"0,860824742268041";"0,825396825396825";"0,912568306010929";"0,00917386273983674";"-0,029372842240102948";"-0,013983180245839147";"0,27095734629689927";"-0,03837070679481325";"13";"1";"0,747496774631469";"0,785941829541872";"0,945560752963798";"JGP Corporate FEEDER II";"120";"IDA-DI";"0,00832057042265485";"IDA-DI";"0,928970865850247";"102";"194";"194";"0,6913463011073814";"0,928970865850247";"-0,040993295791574583";"0,0341146946176321";"0,00832057042265485";"0,01069810385413054";"0,012064114594709574";"-0,001303109195801566";"0,007511747063569940";"0,411764705882353";"0,407216494845361";"0,742268041237113";TRUE;NA
"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP Corporate FEEDER II";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2016-06-15";"2026-06-30";"2520";FALSE;TRUE;TRUE;NA;"2016-07-01";"2026-06-01";"120";"0,009165065206993672";"0,825000000000000";"0,773913043478261";"0,706422018348624";"0,01765490283492915";"-0,045664578484089335";"-0,021877959983741386";"0,29006529302363293";"-0,05762343980184326";"13";"1";"0,717543651008078";"0,752412898090552";"0,967379631320420";"JGP Crédito Advisory";"102";"IDA-DI";"0,00779895629688133";"IDA-DI";"0,923801730888230";"102";"120";"120";"0,6866987820020436";"0,923801730888230";"-0,178555541259330430";"0,0316122216309973";"0,00779895629688133";"0,01915791062534105";"0,012637204521167122";"-0,001342687489717331";"0,008482261150072556";"0,411764705882353";"0,383333333333333";"0,691666666666667";TRUE;NA
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"2022-12-29";"2026-06-30";"878";FALSE;TRUE;TRUE;NA;"2023-01-01";"2026-06-01";"42";"0,009107200567740170";"0,761904761904762";"0,756756756756757";"0,967741935483871";"0,00682232762156579";"-0,006045076099461366";"-0,004104024163082975";"0,34671567845654527";"-0,00742080708958281";"3";"1";"0,667245736925829";"0,689170073628587";"0,913680017777146";"Bradesco Ultra II";"24";"IRF-M 1";"0,00664364437371804";"IDA-DI";"0,788147067041231";"42";"42";"42";"0,3823757906883519";"0,788147067041231";"0,313180074089842775";"0,0493516037981302";"0,01097582610156184";"0,00664364437371804";"0,036437392707437732";"0,000836140228947624";"0,011761447479917475";"0,357142857142857";"0,333333333333333";"0,738095238095238";TRUE;NA
"Vinland Crédito 10 FIC FIRF";"Vinland Crédito 10";"VINLAND CRÉDITO 10 FIC RENDA FIXA";"0,0050";"2024-01-31";"2026-06-30";"606";FALSE;TRUE;TRUE;NA;"2024-02-01";"2026-06-01";"29";"0,009097575175584627";"0,724137931034483";"0,791666666666667";"0,888888888888889";"0,00606703312691904";"-0,004755858871676955";"-0,002749883364825586";"0,11841508207439304";"-0,00475585887167707";"3";"1";"0,726571002708155";"0,764847439409241";"0,909208757489989";"Daycoval Classic 30";"29";"IRF-M 1";"0,00627915543831529";"IDA-DI";"0,860635890325850";"29";"29";"29";"0,5144278085682487";"0,860635890325850";"0,278464790731116518";"0,0293985245088913";"0,00719124116717907";"0,00627915543831529";"0,018360664576635877";"-0,002371067993720888";"0,013137261936944311";"0,448275862068966";"0,482758620689655";"0,758620689655172";TRUE;NA
"Augme 30 II CIC de CIRF CP LP RL";"Augme 30 II";"AUGME 30 II RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-09-29";"2026-06-30";"689";FALSE;TRUE;TRUE;NA;"2023-10-01";"2026-06-01";"33";"0,009077268223304680";"0,666666666666667";"0,857142857142857";"0,909090909090909";"0,00704409070513147";"-0,005385812104749310";"-0,003323156476540171";"-0,04088225992115094";"-0,00826972567431239";NA;"1";"0,557045029349907";"0,547919162589693";"0,947244902687315";"Augme 30 Advisory";"33";"IRF-M 1";"0,00769902042931978";"IDA-DI";"0,662619100204568";"33";"33";"33";"0,3126921488416242";"0,662619100204568";"0,099534551773263633";"0,0288976045145583";"0,00843872672508857";"0,00769902042931978";"0,013224162393853378";"-0,004880762470905187";"0,012914238978166015";"0,393939393939394";"0,242424242424242";"0,696969696969697";TRUE;NA
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2020-01-02";"2026-06-30";"1629";FALSE;TRUE;TRUE;NA;"2020-01-01";"2026-06-01";"78";"0,008970721182759656";"0,833333333333333";"0,726027397260274";"0,716417910447761";"0,02166777685869560";"-0,042482670637400077";"-0,023116882041681237";"0,25017666919891368";"-0,04501796188486751";"9";"1";"0,731221704859883";"0,772222998165530";"0,945709029100236";"Sparta Top";"78";"IDA-DI";"0,00799651437653851";"IDA-DI";"0,950426756940678";"78";"78";"78";"0,8149688830966146";"0,950426756940678";"-0,127760462791357887";"0,0319101959847062";"0,00799651437653851";"0,02293662277291353";"0,015684957286167034";"-0,002156790478876514";"0,011477078505540472";"0,435897435897436";"0,371794871794872";"0,756410256410256";TRUE;NA
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2018-12-11";"2026-06-30";"1896";FALSE;TRUE;TRUE;NA;"2019-01-01";"2026-06-01";"90";"0,008660814323839139";"0,888888888888889";"0,894117647058824";"1,000000000000000";"0,00296190132207902";"-0,002797618892528497";"-0,002364365416813655";"0,17447493996528346";"-0,00453894040123348";"6";"1";"0,545502937264888";"0,577371512452549";"0,747477097264482";"Occam Crédito Corporativo 30";"42";"IRF-M 1";"0,00552774174387785";"IDA-DI";"0,554818336408700";"90";"90";"90";"0,3417951842350526";"0,554818336408700";"0,160626186933891912";"0,0435510644973975";"0,02249056516025227";"0,00552774174387785";"0,015192932749552135";"-0,000515042058739090";"0,009829812755092648";"0,366666666666667";"0,322222222222222";"0,833333333333333";TRUE;NA
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2011-12-23";"2026-06-30";"3645";FALSE;TRUE;TRUE;NA;"2012-01-01";"2026-06-01";"174";"0,008522789664149322";"0,873563218390805";"0,822485207100592";"0,815950920245399";"0,01474228854547049";"-0,031941493642483221";"-0,026154891209579218";"0,56894717588220567";"-0,07129162486603235";"22";"1";"0,712817433251390";"0,777986967901783";"0,917544956951213";"AF Invest Geraes 30";"99";"IDA-DI";"0,01148473928394038";"IDA-DI";"0,746823793823544";"102";"174";"174";"0,6161812306006267";"0,746823793823544";"-0,191838122551206552";"0,0329663085369519";"0,01148473928394038";"0,01644743726491287";"0,010700967287612162";"-0,001676388092314740";"0,007540447264845485";"0,431372549019608";"0,402298850574713";"0,701149425287356";TRUE;NA
"Safra Polaris Classe de Investimento RF CP RL";"Safra Polaris";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-07-26";"2026-06-30";"1740";FALSE;TRUE;TRUE;NA;"2019-08-01";"2026-06-01";"83";"0,008201172852079663";"0,759036144578313";"0,705128205128205";"0,861111111111111";"0,01393819983872835";"-0,030876620259836507";"-0,012863003868377354";"0,13336491400395442";"-0,03255976251783232";"9";"1";"0,722753188687649";"0,757518239905808";"0,931531918286749";"Principal Claritas";"83";"IDA-DI";"0,01264959828515876";"IDA-DI";"0,927994746201549";"83";"83";"83";"0,6544114389232676";"0,927994746201549";"-0,119631975229508344";"0,0383990877070041";"0,01264959828515876";"0,01546032765162372";"0,015971327023420745";"-0,001098747340353756";"0,010034622423150230";"0,361445783132530";"0,313253012048193";"0,674698795180723";TRUE;NA
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2018-06-29";"2026-06-30";"2009";FALSE;TRUE;TRUE;NA;"2018-07-01";"2026-06-01";"96";"0,007963460447077519";"0,875000000000000";"0,780219780219780";"0,729411764705882";"0,01279468872837838";"-0,025643098811890530";"-0,015376206058436592";"0,43700423675548739";"-0,03433686692948590";"11";"1";"0,749758273618790";"0,842831577882097";"0,949081150391301";"Sparta Top";"96";"IDA-DI";"0,01214768016719526";"IDA-DI";"0,920867681197110";"96";"96";"96";"0,7849787501166781";"0,920867681197110";"-0,187839579727886230";"0,0334951202416393";"0,01214768016719526";"0,01469230738545397";"0,013435877806069918";"-0,001386614626729510";"0,008287803133952165";"0,458333333333333";"0,354166666666667";"0,739583333333333";TRUE;NA
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2023-04-03";"2026-06-30";"813";FALSE;TRUE;TRUE;NA;"2023-04-01";"2026-06-01";"39";"0,007796221644291057";"0,871794871794872";"0,882352941176471";"0,964285714285714";"0,00448812141563022";"-0,004783935660122141";"-0,002261371910228090";"0,06742159064821922";"-0,00554352812016001";NA;"1";"0,565389889441666";"0,583907881859761";"0,972859995993885";"BNP Paribas Rubi";"39";"IRF-M 1";"0,00487019099074339";"IDA-DI";"0,595821518379676";"39";"39";"39";"0,3790760598220179";"0,595821518379676";"0,301217083894180893";"0,0272756557722079";"0,00928888597975947";"0,00487019099074339";"0,003102925643498455";"-0,010233392294621058";"0,010936279669738980";"0,282051282051282";"0,256410256410256";"0,794871794871795";TRUE;NA
