Nome do Ativo;Data;Número Índice
CDI;30/12/1996;100,085333
CDI;31/12/1996;100,168738
CDI;02/01/1997;100,252212
CDI;03/01/1997;100,32974
CDI;06/01/1997;100,406994
CDI;07/01/1997;100,484307
CDI;08/01/1997;100,56168
CDI;09/01/1997;100,639113
CDI;10/01/1997;100,716605
CDI;13/01/1997;100,794828
CDI;14/01/1997;100,873112
CDI;15/01/1997;100,951457
CDI;16/01/1997;101,029863
CDI;17/01/1997;101,108329
CDI;20/01/1997;101,187194
CDI;21/01/1997;101,26612
CDI;22/01/1997;101,34477
CDI;23/01/1997;101,423481
CDI;24/01/1997;101,502591
CDI;27/01/1997;101,582101
CDI;28/01/1997;101,661335
CDI;29/01/1997;101,741987
CDI;30/01/1997;101,821345
CDI;31/01/1997;101,903821
CDI;03/02/1997;101,997233
CDI;04/02/1997;102,09073
CDI;05/02/1997;102,184994
CDI;06/02/1997;102,279004
CDI;07/02/1997;102,373442
CDI;12/02/1997;102,467966
CDI;13/02/1997;102,562579
CDI;14/02/1997;102,657962
CDI;17/02/1997;102,753434
CDI;18/02/1997;102,848309
CDI;19/02/1997;102,943273
CDI;20/02/1997;103,03798
CDI;21/02/1997;103,132432
CDI;24/02/1997;103,22697
CDI;25/02/1997;103,321251
CDI;26/02/1997;103,415273
CDI;27/02/1997;103,509036
CDI;28/02/1997;103,602539
CDI;03/03/1997;103,690947
CDI;04/03/1997;103,779775
CDI;05/03/1997;103,867988
CDI;06/03/1997;103,956276
CDI;07/03/1997;104,044985
CDI;10/03/1997;104,134117
CDI;11/03/1997;104,222978
CDI;12/03/1997;104,312263
CDI;13/03/1997;104,401276
CDI;14/03/1997;104,490713
CDI;17/03/1997;104,580227
CDI;18/03/1997;104,669817
CDI;19/03/1997;104,759484
CDI;20/03/1997;104,848879
CDI;21/03/1997;104,93835
CDI;24/03/1997;105,027897
CDI;25/03/1997;105,117521
CDI;26/03/1997;105,207221
CDI;31/03/1997;105,296998
CDI;01/04/1997;105,376673
CDI;02/04/1997;105,456408
CDI;03/04/1997;105,536203
CDI;04/04/1997;105,616059
CDI;07/04/1997;105,696679
CDI;08/04/1997;105,778418
CDI;09/04/1997;105,863393
CDI;10/04/1997;105,946673
CDI;11/04/1997;106,033196
CDI;14/04/1997;106,120496
CDI;15/04/1997;106,207515
CDI;16/04/1997;106,291773
CDI;17/04/1997;106,377515
CDI;18/04/1997;106,465099
CDI;22/04/1997;106,548852
CDI;23/04/1997;106,630895
CDI;24/04/1997;106,711934
CDI;25/04/1997;106,792679
CDI;28/04/1997;106,873842
CDI;29/04/1997;106,955422
CDI;30/04/1997;107,037065
CDI;02/05/1997;107,121981
CDI;05/05/1997;107,20625
CDI;06/05/1997;107,290228
CDI;07/05/1997;107,37463
CDI;08/05/1997;107,459098
CDI;09/05/1997;107,543633
CDI;12/05/1997;107,628951
CDI;13/05/1997;107,713977
CDI;14/05/1997;107,799071
CDI;15/05/1997;107,884233
CDI;16/05/1997;107,969461
CDI;19/05/1997;108,054757
CDI;20/05/1997;108,14012
CDI;21/05/1997;108,225551
CDI;22/05/1997;108,311049
CDI;23/05/1997;108,396615
CDI;26/05/1997;108,481887
