"nome_xlsx";"nome_curto";"nome_plot";"nome_quantum";"taxa_adm_aa";"criterio_match";"similaridade";"revisar"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Augme 30 II CIC de CIRF CP LP RL";"Augme 30 II";"Augme 30 II";"AUGME 30 II RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Plural Crédito Corporativo II FIC de FIF RF CP LP RL";"Plural Crédito Corporativo II";"Plural Crédito Corporativo II";"PLURAL CRÉDITO CORPORATIVO II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"XP Corporate Light FIRF CP LP";"XP Corporate Light";"XP Corporate Light";"XP CORPORATE LIGHT RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Integral FIRF CP";"Integral";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"Similaridade de nome";"1,000000000000000";FALSE
"Western Asset Total Credit Plus FIF";"Western Asset Total Credit Plus";"Western Asset Total Credit Plus";"WESTERN ASSET TOTAL CREDIT PLUS CI RESP LIMITADA RENDA FIXA CRÉDITO PRIVADO";"0,0065";"Similaridade de nome";"1,000000000000000";FALSE
"Tríade CIC CLasses FIM CP Resp Limitada";"Tríade";"Tríade";"TRÍADE FIF CIC MULTIMERCADO";"0,0066";"Similaridade de nome";"1,000000000000000";FALSE
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Inter Premium FIF RF CP LP RL";"Inter Premium";"Inter Premium";"INTER PREMIUM RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Sparta Top FIC FIF RF CP LP - Resp Limitada";"Sparta Top";"Sparta Top";"SPARTA TOP RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0030";"Similaridade de nome";"1,000000000000000";FALSE
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Riza Lotus Plus Advisory FIF RF";"Riza Lotus Plus Advisory";"Riza Lotus Plus Advisory";"RIZA LÓTUS PLUS ADVISORY FIF CIC RENDA FIXA";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"XP Corporate Top CP FIF FIRF LP RL";"XP Corporate Top";"XP Corporate Top";"XP CORPORATE TOP RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0075";"Similaridade de nome";"1,000000000000000";FALSE
"Selection RF Light FIC FIRF CP LP";"Selection Light";"Selection Light";"SELECTION RF LIGHT FIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0031";"Similaridade de nome";"1,000000000000000";FALSE
